verb,sentence,verb_idx,label
ease,ease the pain in your legs,0,0
claim,They claimed on the maximum allowable amount,1,0
gag,The press was gagged,3,1
communicate,The rooms communicated,2,1
match,Let them match their best athletes against ours .,2,0
spot,This dress spots quickly,2,0
sail,We sailed the Atlantic,1,0
culminate,Seurat culminated pointillism .,1,1
stimulate,stimulate my appetite,0,0
declare,His wife declared at once for moving to the West Coast,2,0
face,A glossy material faced the lapels of the jacket .,3,1
miss,The arrow missed the target,2,0
correct,engineers will work to correct the effects or air resistance,4,0
treat,Do n't worry about the expensive wine -- I'm treating,9,0
debut,The band debuts a new song or two each month,2,0
want,Your former neighbor is wanted by the FBI,4,0
bounce,The rubber ball bounced,3,0
paint,We painted the rooms yellow,1,0
acknowledge,acknowledge the deed,0,0
explode,We exploded the nuclear bomb,1,0
relate,How are these two observations related ?,5,0
paste,He pasted his opponent,1,1
air,We can not air this X - rated song,3,0
mold,She molded the rice balls carefully,1,0
shed,Our dog sheds every Spring .,2,0
capture,capture the essence of Spring,0,1
uproot,They plan to uproot the vine that has spread all over the garden .,3,0
harmonize,harmonize one 's goals with one 's abilities,0,1
bounce,The ex - boxer 's job is to bounce people who want to enter this private club,8,1
compose,Beethoven composed nine symphonies,1,0
locate,Can you locate your cousins in the Midwest ?,2,0
tense,He tensed up when he saw his opponent enter the room,1,0
step,step over to the blackboard,0,0
inform,She had informed on her own parents for years,2,0
sign,This road has been signed .,4,0
claim,He claimed his suitcases at the airline counter,1,0
declare,Do you have anything to declare ?,5,0
fracture,The pothole fractured a bolt on the axle .,2,0
seat,seat the camera on the tripod,0,0
preserve,preserve the forest and the lakes,0,0
swallow,She swallowed the last words of her speech,1,1
buy,She wanted to buy his love with her dedication to him and his work,3,0
ruffle,This play is going to ruffle some people .,5,1
ordain,The minister was ordained only last month .,3,0
step,She stepped into a life of luxury,1,1
reflect,His lack of interest in the project reflects badly on him,7,1
clean,The boys cleaned the sandwich platters,2,0
believe,""" When you hear his sermons , you will be able to believe , too """,12,0
puff,Her faced puffed up from the drugs,2,0
breathe,She breathes the Christian spirit,1,1
convulse,The comedian convulsed the crowd,2,1
retrofit,The laboratory retrofitted to meet the safety codes,2,0
splash,She splashed the water around her .,1,0
claw,They clawed their way to the top of the mountain .,1,1
spray,Water sprayed all over the floor,1,0
ordain,The King ordained the persecution and expulsion of the Jews .,2,0
seem,She seems to be sleeping,1,0
gag,he swallowed a fishbone and gagged,5,0
recruit,The lab director recruited an able crew of assistants .,3,0
time,The candidate carefully timed his appearance at the disaster scene .,3,0
admit,This problem admits of no solution,2,1
clean,The dentist cleaned my teeth,2,0
rail,They railed from Rome to Venice,1,0
inject,inject hydrogen into the balloon,0,0
conduct,conduct an orchestra ; Barenboim conducted the Chicago symphony for years,5,0
wallow,pigs were wallowing in the mud,2,0
assign,The biologist assigned the mushroom to the proper class .,2,0
wish,I wish I could go home now .,1,0
blaze,Meteors blazed across the atmosphere .,1,1
loop,He looped the watch through his belt .,1,0
mold,The furniture molded in the old house,2,0
put,put these words to music,0,0
lean,We can lean on this man,2,1
pump,He pumped bullets into the dummy .,1,1
wrestle,He wrestled all his life with his feeling of inferiority .,1,1
land,The ship landed in Pearl Harbor,2,0
glow,Make the people 's hearts glow,5,1
fasten,He fastened the lock onto the door .,1,0
puff,The critics puffed up this Broadway production,2,1
aim,Please do n't aim at your little brother !,3,0
reseat,The usher insisted on reseating us,4,0
involve,Do n't involve me in your family affairs !,2,0
spell,She spelled her husband at the wheel,1,1
loop,The stunt pilot looped his plane .,3,1
locate,Our sense of sight enables us to locate objects in space .,7,0
communicate,He and his sons have n't communicated for years,6,0
waste,The water wastes back into the ocean .,2,1
shower,The guests showered rice on the couple,2,0
waste,He wasted his inheritance on his insincere friends .,1,1
appreciate,The yen appreciated again !,2,0
acknowledge,We must acknowledge the kindness she showed towards us,2,0
act,This scene acts well,2,1
transform,He transformed into a monster .,1,1
decide,This new development finally decided me !,4,0
talk,She will talk at Rutgers next week .,2,0
hail,She hails from Kalamazoo,1,0
blast,blast a passage through the mountain,0,0
interrupt,Do n't interrupt me when I 'm reading,2,0
abuse,This boss abuses his workers .,2,0
change,She changed completely as she grew older,1,0
mean,The water shortage means that we have to stop taking long showers .,3,0
demand,I demand an explanation,1,0
salute,I meet this men every day on my way to work and he salutes me,13,0
build,Suspense was building right from the beginning of the opera,2,0
level,level criticism or charges at somebody,0,1
admit,We can not admit non - members into our club building,3,0
eat,She was eating a banana,2,0
govern,His belief in God governs his conduct,4,0
vest,She vested her vast fortune in her two sons,1,0
pump,She pumped the witnesses for information .,1,1
sign,""" I do n't know how to sign , so I could not communicate with my deaf cousin . """,7,0
digest,the government digested the entire law into a code,2,1
lend,I will lend you my car,2,0
desert,""" If soldiers deserted Hitler 's army , they were shot """,3,0
want,want the strength to go on living,0,0
impress,The young chess player impressed her audience,4,0
recapture,The author recaptures an old idea here .,2,0
approach,I was approached by the President to serve as his adviser in foreign matters,2,0
flare,Every star seemed to flare with new intensity .,4,1
date,She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated,8,0
warn,I warned you that I would ask some difficult questions .,1,0
shorten,The manuscript must be shortened,4,0
assign,The teacher assigned him to lead his classmates in the exercise .,2,0
rail,fresh fruit are railed from Italy to Belgium,3,0
mount,mount slides for macroscopic analysis,0,0
steam,The rain forest was literally steaming,5,0
demand,The victim 's family is demanding compensation,5,0
agree,No two of my colleagues would agree on whom to elect chairman,6,0
orient,The dean of students tries to orient the freshmen,6,0
palpitate,His nostrils palpitated,2,0
paint,he painted all day in the garden,1,0
look,She looked her devotion to me,1,0
whistle,She whistled a melody,1,0
pin,pin the needle to the shirt,0,0
dull,the varnished table top dulled with time,4,0
put,That song put me in awful good humor,2,0
seize,The FBI seized the drugs,2,0
steamroller,steamroller the opposition,0,1
inject,He injected new life into the performance,1,1
refine,refine a design or pattern,0,0
denote,Her smile denoted that she agreed,2,0
cheer,The crowd cheered the demonstrating strikers,2,0
translate,poetry often does not translate,4,0
scan,The beams scanned the night sky,2,1
vegetate,The fields vegetate vigorously,2,0
please,The waiters around her aim to please,6,0
worry,I can not sleep -- my daughter 's health is worrying me,10,0
curl,""" Curl my hair , please . """,1,0
precipitate,The crisis precipitated by Russia 's revolution,2,1
ruin,The country lay ruined after the war,3,0
change,Would you change places with me ?,2,0
reseat,reseat the old broken chair,0,0
poison,Her husband poisoned her drink in order to kill her,2,0
oppose,The board opposed his motion,2,0
pound,pound the roots with a heavy flat stone,0,0
compare,We can compare the Han dynasty to the Romans,2,0
report,I report to work every day at 9 o'clock,1,0
allow,The camera store owner allowed me $ 50 on my old camera,4,0
stamp,Are the letters properly stamped ?,4,0
spread,A big oil spot spread across the water,4,0
involve,Dinner at Joe 's always involves at least six courses,5,0
agree,Subjects and verbs must always agree in English,5,0
compare,This car does not compare with our line of Mercedes,4,0
capture,She captured all the men 's hearts,1,1
use,She used to call her mother every week but now she calls only occasionally,1,0
dismiss,I was dismissed after I gave my report,2,0
grind,grind the spices in a mortar,0,0
tread,For fools rush in where angels fear to tread,8,0
mean,These flowers were meant for you .,3,0
vote,They voted aid for the underdeveloped countries in Asia,1,0
raid,The police raided the crack house,2,0
translate,Can you translate the instructions in this manual for a layman ?,2,0
transform,It can transform energy to light .,2,0
clean,This stove cleans easily,2,0
rejuvenate,the land rejuvenated,2,0
profess,He professed innocence but later admitted his guilt,1,0
execute,execute the decision of the people,0,0
indicate,indicated his wishes in a letter,0,0
commit,commit a random act of kindness,0,0
hack,The patient with emphysema is hacking all day,5,0
miss,How could I miss that typo ?,3,0
incline,She inclined her head to the student,1,0
drown,The child drowned in the lake,2,0
construct,construct an equilateral triangle,0,0
port,The small canoe could be ported easily,5,0
push,The crowd pushed forward,2,0
stuff,My nose is all stuffed,4,0
dull,Too much cutting dulls the knife 's edge,3,0
jam,The driver jammed the brake pedal to the floor,2,0
drink,The mother drinks in every word of her son on the stage,2,1
push,He pushed the table into a corner,1,0
grab,This story will grab you,3,1
flare,The night sky flared with the massive bombardment .,3,1
recall,The ambassador was recalled to his country,3,0
downsize,The car makers downsized the SUVs when fuel became very expensive .,3,1
worry,I worry about my grades,1,0
sequester,The dentist sequesters the tooth he is working on,2,0
miss,I missed the concert,1,0
brush,He brushed the wall lightly,1,0
supplicate,supplicate for permission,0,0
put,I would n't put it that way,3,0
push,The guy hanging around the school is pushing drugs,7,1
deflate,The new measures deflated the economy,3,1
divide,divide the cake into three equal parts,0,0
ping,The bugs pinged the lamp shade,2,0
live,we had to live frugally after the war,3,0
rotate,We rotate the lead soprano every night,1,0
blister,The Senator blistered the administration in his speech on Friday .,2,1
drift,drift the boats downstream,0,0
expect,The meteorologists are expecting rain for tomorrow,3,0
govern,most transitive verbs govern the accusative case in German,3,1
taste,Can you taste the garlic ?,2,0
gain,The stock market gained 24 points today,3,0
port,the captain ported the ship at night,2,0
answer,The question concerning the meaning of life can not be answered,10,0
assume,""" She assumed indifference , even though she was seething with anger """,2,0
belong,Where do these books belong ?,4,0
rubricate,She was rubricated by the pope,2,0
glare,The sun glared down on us,2,1
tempt,St. Anthony was tempted in the desert,3,0
eat,This dog does n't eat certain kinds of meat,4,0
rip,The tornado ripped along the coast .,2,1
fear,I fear the winters in Moscow,1,0
stumble,The drunk man stumbled about,3,0
inform,I informed him of his rights,1,0
specialize,specialize one 's research,0,0
engrave,engraved the trophy cupt with the winner 's,0,0
juggle,the player juggled the ball,2,0
vote,vote one 's conscience,0,0
excuse,Please excuse my dirty hands,1,0
administer,administer the last unction,0,0
erase,Please erase the formula on the blackboard -- it is wrong !,1,0
fill,The liquid fills the container,2,0
map,sorrow was mapped on the mother 's face,2,1
land,The bird landed on the highest branch,2,0
poison,poison someone 's mind,0,1
lighten,she lightened the load on the tired donkey,1,0
gain,the peace movement gained momentum,3,0
crush,crush an aluminum can,0,0
blast,blast a tunnel through the Alps,0,0
assimilate,The nasal assimilates to the following consonant,2,0
retrofit,The mansion was retrofitted with modern plumbing,3,0
glare,The girl glared at the man who tried to make a pass at her,2,0
float,He floated the logs down the river,1,0
suspend,The prison sentence was suspended .,4,0
drink,We were up drinking all night,3,0
profess,She professes organic chemistry,1,0
thrill,he was thrilled by the speed and the roar of the engine,2,0
grab,The passenger grabbed for the oxygen mask,2,0
shower,He showered her with presents,1,1
drift,The unknown young man drifted among the invited guests,4,1
smash,The motorcycle smashed into the guard rail,2,0
fit,Can you fit the toy into the box ?,2,0
write,Please write to me every week .,1,0
spread,spread cheese on a piece of bread,0,0
reform,The lazy student promised to reform,5,0
bob,Bernice bobs her hair these days !,1,0
key,key one 's actions to the voters ' prevailing attitude,0,1
confirm,his story confirmed my doubts,2,0
invite,I invited them to a restaurant,1,0
excuse,Please excuse me from this class,1,0
relax,He relaxed in the hot tub,1,0
mount,mount a theater production,0,1
vouch,I vouch for the quality of my products .,1,0
paste,paste the sign on the wall,0,0
form,This wall forms the background of the stage setting,2,1
rationalize,This function can be rationalized,4,0
ping,the bullet pinged when they struck the car,2,0
invite,The organizers invite submissions of papers for the conference,2,0
bind,They bind their books in leather .,1,0
root,The problem roots in her depression,2,1
wish,We wish you a nice evening !,1,0
radiate,spokes radiate from the hub of the wheel,1,0
refer,refer a patient to a specialist,0,0
impress,""" To make a batik , you impress a design with wax """,7,0
finish,He finished the dishes,1,0
stuff,stuff a pillow with feathers,0,0
sign,She signed the letter and sent it off .,1,0
pledge,I pledge that I will honor my wife,1,0
flow,Water flowed into the cave,1,0
nod,the flowers were nodding in the breeze,3,1
prick,The dog pricked up his ears,2,0
suspend,The fluid suspends the particles .,2,1
computerize,They computerized the car industry,1,0
count,The toddler could count to 100,3,0
acquaint,Permit me to acquaint you with my son .,3,0
supplicate,supplicate God 's blessing,0,0
compose,She had to compose herself before she could reply to this terrible insult,3,0
tack,tack the notice on the board,0,0
rationalize,rationalize the child 's seemingly crazy behavior,0,1
flick,The lights flicked on and off .,2,0
dull,Middle age dulled her appetite for travel,2,1
build,These architects build in interesting and new styles,2,0
climb,The path climbed all the way to the top of the hill,2,1
belong,This book belongs to me,2,0
head,The wheat headed early this year,2,1
reach,Our advertisements reach millions,2,0
use,She uses her influential friends to get jobs,1,0
debut,""" The new ballet that debuts next months at Covent Garden , is already sold out """,5,0
cloud,The stars are obscured by the clouds .,6,0
fasten,They fastened various nicknames to each other .,1,1
sing,She was singing while she was cooking,2,0
understand,She did not understand her husband,3,0
remit,The pain finally remitted,3,0
credit,We credit your account with $ 100,1,0
fit,How does this shirt fit ?,4,0
spray,spray water on someone,0,0
shed,She shed a lot of tears when this happened .,1,0
discolor,The detergent discolored my shirts .,2,0
produce,The Bordeaux region produces great red wines,3,0
boost,Boost the voltage in an electrical circuit .,0,0
back,Can you back up your claims ?,2,0
act,think before you act,3,0
flash,The headlines flashed on the screen,2,0
stream,their manes streamed like stiff black pennants in the wind,2,1
answer,This may answer her needs,2,0
clamor,The delegates clamored their disappointment,2,1
constitutionalize,The United States were constitutionalized in the late 18th century,4,0
seem,It seems that he is very gifted,1,0
mellow,""" With age , he mellowed """,5,0
sensitize,He was not sensitized to her emotional needs,3,0
exclude,The unruly student was excluded from the game,4,0
sustain,We sustained the diplomatic negotiations as long as possible,1,0
condemn,He was condemned to ten years in prison,2,0
grope,She groped for her glasses in the darkness of the bedroom,1,0
twist,twist the dough into a braid,0,0
interrupt,Please do n't interrupt me while I 'm on the phone,3,0
pound,The locks pound the water of the canal,2,1
exhaust,We have exhausted the food supplies .,2,1
crawl,The old cheese was crawling with maggots,4,1
lock,He was locked in a laughing fit .,2,1
answer,The drawing of the suspect answers to the description the victim gave,5,0
cloud,The chemical clouded the liquid to which it was added .,2,1
scan,She scanned the newspaper headlines while waiting for the taxi,1,0
invade,This new colleague invades my territory,3,0
clog,horses were clogged until they were tamed,2,1
mellow,These apples need to mellow a bit more,4,1
ease,He eased himself into the chair,1,0
build,The government is building new schools in this state,3,0
form,social groups form everywhere,2,0
allow,I allow for this possibility,1,0
quote,He quoted the Bible to her .,1,0
rotate,We rotate the crops so as to maximize the use of the soil,1,0
register,register for an election,0,0
steam,steam - clean the upholstered sofa,0,0
sit,The White House sits on Pennsylvania Avenue,3,1
nod,The old man sat nodding by the fireplace,4,0
crawl,My skin crawled -- I was terrified,2,1
sound,This sounds interesting,1,0
help,This will help to prevent accidents,2,0
synchronize,synchronize biblical events,0,0
trace,The hunters traced the deer into the woods,2,0
flow,The crowd flowed out of the stadium,2,1
form,form the young child 's character,0,1
live,You must accept yourself and others if you really want to live,11,0
negociate,The parties negociated all night,2,0
solicit,He was accused of soliciting his colleagues to destroy the documents .,4,0
seat,the mother seated the toddler on the high chair,2,0
claim,He claimed that he killed the burglar,1,0
attack,""" Hitler attacked Poland on September 1 , 1939 and started World War II """,2,0
radiate,She radiates happiness,1,1
change,Father had to learn how to change the baby,6,0
spread,He spread fertilizer over the lawn,1,0
double,The population doubled within 50 years,2,0
snort,The critic snorted contemptuously,2,0
intervene,This interludes intervenes between the two movements,2,1
dull,Age had dulled the surface,2,0
look,You do n't look your age !,3,0
remember,he remembered how he used to pick flowers,1,0
devour,She devoured his novels,1,1
act,She acts as the chair,1,1
stagger,She was staggered with bills after she tried to rebuild her house following the earthquake .,2,1
drown,I was drowned in work,2,1
seize,Fear seized the prisoners,1,1
inflate,The war inflated the economy,2,1
climb,Sales were climbing after prices were lowered,2,1
accommodate,The scientists had to accommodate the new results with the existing theories,4,0
help,Everyone helped out during the earthquake,1,0
scorch,The wildfire scorched the forest and several homes .,2,0
swell,The mother was swelling with importance when she spoke of her son,3,1
portray,The book portrays the actor as a selfish person,2,0
flood,flood the market with tennis shoes,0,1
push,""" ` Now push hard , ' said the doctor to the woman """,3,0
condense,Congress condensed the three - year plan into a six - month plan,1,0
pose,She posed as the Czar 's daughter,1,0
square,square the wood with a file,0,0
register,Did this event register in your parents ' minds ?,3,0
tempt,We were tempted by the delicious - looking food,2,0
visit,Did you ever visit Paris ?,3,0
reseat,reseat Carnegie Hall,0,0
precede,She always precedes her lectures with a joke,2,0
smash,She smashed her car against the guard rail,1,0
convulse,The muscles in her face convulsed,5,0
cook,My husband does n't cook,4,0
volley,They began to volley the tennis ball .,3,0
correct,The new contact lenses will correct for his myopia,5,0
immigrate,only few plants can immigrate to the island,4,0
boost,The singer had to be boosted onto the stage by a special contraption .,5,0
redound,Her efforts will redound to the general good .,3,1
tug,She tugged and wrestled with her conflicts,1,1
dance,The children danced with joy .,2,0
stoop,I wo n't stoop to reading other people 's mail .,3,1
report,One student reported the other to the principal,2,0
assume,He assumes the lotus position,1,0
pound,The prisoners are safely pounded,4,1
involve,His story completely involved me during the entire afternoon,3,0
top,The towers were topped with conical roofs .,3,0
deflate,deflate the currency,0,1
blister,Her feet blistered during the long hike .,2,0
ask,He is asking $ 200 for the table,2,0
sustain,The court sustained the motion,2,0
snort,she snorted her disapproval of the proposed bridegroom,1,1
seat,""" The theater seats 2,000 """,3,0
provide,The will provides that each child should receive half of the money,2,0
wallow,wallow in your success !,0,1
factor,make things factor into a company 's profitability,2,0
infect,Your children have infected you with this head cold,3,0
put,She put too much emphasis on her the last statement,1,1
volley,I heard him volley a string of curses .,3,1
use,we only use Spanish at home,2,0
excavate,Carnegie had a lake excavated for Princeton University 's rowing team .,4,0
reflect,her sunglasses reflected his image,2,0
match,The company matched the employees ' contributions .,2,0
erupt,Unrest erupted in the country,1,1
ferment,Islam is fermenting Africa,2,1
upgrade,The airline upgraded me when I arrived late and Coach Class was full,2,0
condemn,The building was condemned by the inspector,3,0
attack,The Serbs attacked the village at night,2,0
execute,""" In some states , criminals are executed """,7,0
blaze,The spaceship blazed out into space .,2,1
clamor,he clamored for justice and tolerance,1,0
climb,Did you ever climb up the hill behind your house ?,3,0
pound,pound the cows so they do n't stray,0,0
lock,Lock the bike to the fence !,0,0
commit,""" After the second episode , she had to be committed """,10,0
acknowledge,He never acknowledges his colleagues when they run into him in the hallway,2,0
nod,He nodded his approval,1,0
peep,He peeped his head through the window .,1,1
glow,Her face glowed when she came out of the sauna,2,1
nag,She nags her husband all day long,1,0
spread,The invaders spread their language all over the country,2,0
guard,Please guard my possessions while I 'm away .,1,0
confront,You must confront your problems,2,0
consider,Please consider your family,1,0
bounce,He bounced to his feet,1,0
brush,brush away the crumbs,0,0
tithe,He tithed his income to the Church,1,0
emerge,""" Suddenly , the proprietor emerged from his office """,5,0
depress,The rising inflation depressed the economy,3,0
tug,Each oar was tugged by several men,3,0
dash,dashed by the refusal,0,1
sharpen,The debate sharpened,2,1
walk,The horses walked across the meadow .,2,0
produce,The tree would not produce fruit,4,0
declare,He declared that he was innocent,1,0
execute,The Mafioso who collaborated with the police was executed,8,0
execute,execute a will or a deed,0,0
decline,he declined to join the group on a hike,1,0
immigrate,Many people immigrated at the beginning of the 20th century,2,0
penetrate,The hikers did not manage to penetrate the dense forest .,6,0
visualize,Mathematicians often visualize .,2,1
join,The two roads join here,3,0
admit,This ticket will admit one adult to the show,3,0
steamroller,The Senator steamrollered the bill to defeat,2,1
ascend,We ascended the mountain .,1,0
oppose,The senator said he would oppose the bill,5,0
water,We watered the buffalo,1,0
finish,That finished me with Mary,1,0
rationalize,We rationalized the factory 's production and raised profits,1,0
transform,This experience transformed her completely .,2,1
acknowledge,The program committee acknowledged the submission of the authors of the paper,3,0
rail,They are railing for fresh fish,2,1
help,New slipcovers will help the old living room furniture,3,1
tell,He could tell that she was unhappy,2,0
scorch,The heat scorched the countryside .,2,1
lay,This hen does n't lay,4,0
miss,He misses his mother,1,0
perturb,The electrons were perturbed by the passing ion,3,1
denote,She denoted her feelings clearly,1,0
answer,answer the telephone,0,0
ferment,We ferment the grapes for a very long time to achieve high alcohol content,1,0
top,The gardener topped the trees and bushes .,2,1
screen,They decided to screen the blood for the HIV virus .,3,1
flap,flags flapped in the strong wind,1,0
construct,construct a sentence,0,0
grind,grind lenses for glasses and cameras,0,0
attest,His high fever attested to his illness,3,1
tip,tip the screen upward,0,0
escape,The convicted murderer escaped from a high security prison,3,0
fear,I fear I wo n't make it to your wedding party,1,0
sell,The brothers sell shoes .,2,0
tip,He tipped off the police about the terrorist plot,1,0
avoid,Let 's avoid a confrontation .,2,0
drift,My son drifted around for years in California before going to law school,2,1
look,She looked over the expanse of land,1,0
nag,she nagged to take a vacation,1,0
segregate,the sun segregates the carbon,2,0
help,This money will help the development of literacy in developing countries,3,0
head,The list was headed by the name of the president,3,0
revive,He revived this style of opera,1,0
harmonize,harmonize the different interests,0,0
curl,The cigar smoke curled up at the ceiling .,3,1
synchronize,The clocks synchronize,2,0
sail,The QE2 will sail to Southampton tomorrow,3,0
trench,trench the fallen soldiers,0,0
join,He joined the Communist Party as a young man,1,0
float,The Republicans are floating the idea of a tax reform,3,1
tithe,The church was tithed,3,0
allow,We do n't allow dogs here,3,0
belong,This student somehow does n't belong,5,0
reform,The Church reformed me,2,1
steamroller,steamroller the road,0,0
sense,This robot can sense the presence of people in the room,3,0
grow,Corn does n't grow here,3,0
fracture,The tibia fractured from the blow of the iron pipe .,2,0
land,He landed several blows on his opponent 's head,1,0
treat,treat the water so it can be drunk,0,0
infect,His laughter infects everyone who is in the same room,2,1
name,She was named Head of the Committee,2,0
tease,The children teased the new teacher,2,0
bother,Mosquitoes buzzing in my ear really bothers me,6,0
fear,I fear the results of the final exams,1,0
key,We were keyed after the locks were changed in the building,2,1
salt,She salts her lectures with jokes,1,1
recall,She was recalled by a loud laugh,2,0
compose,Greed and ambition composed his personality,3,1
remember,I ca n't remember saying any such thing,3,0
preserve,preserve the peace in the family,0,1
repair,He repaired to his cabin in the woods,1,1
steam,just steam the vegetables,1,0
pierce,The cold pierced her bones .,2,1
flash,he flashed a $ 100 bill,1,1
condense,All our planets condensed out of the same material,3,0
assume,This is the day when May was assumed into heaven,7,0
head,The procession was headed by John,3,1
stall,The car stalled in the driveway,2,0
stumble,I stumbled across a long - lost cousin last night in a restaurant,1,1
invade,""" Hitler invaded Poland on September 1 , 1939 """,2,0
begin,The number ` one ' begins the sequence,5,0
gutter,The cooling lava continued to gutter toward lower ground .,5,1
melt,Hundreds of actors were melting into the scene,4,1
juggle,She had to juggle her job and her children,3,1
bow,He bowed before the King,1,0
affect,Will the new rules affect me ?,4,0
offset,offset deposits and withdrawals,0,0
gutter,The roofer began to gutter the buildings .,4,0
whistle,She whistled for her maid,1,0
moderate,He moderated his tone when the students burst out in tears,1,0
change,her mood changes in accordance with the weather,2,0
design,It is difficult to design a better mousetrap .,4,0
portray,""" Goya wanted to portray his mistress , the Duchess of Alba """,4,0
recruit,The party recruited many new members .,2,0
clean,clean up before you see your grandparents,0,0
stuff,Have you stuffed the turkey yet ?,2,0
repair,She repaired her TV set,1,0
attest,I attest this signature,1,0
rubricate,""" In this beautiful book , all the place names are rubricated """,11,0
nod,The teacher nodded when the student gave the right answer,2,0
excavate,Schliemann excavated Troy .,1,0
reform,reform the health system in this country,0,0
agree,The two stories do n't agree in many details,5,0
report,Snow reported on China in the 1950 's,1,0
tug,The prisoner tugged at the chains,2,0
seem,There seems no reason to go ahead with the project now,1,0
accommodate,Can you accommodate me with a rental car ?,2,0
plead,She pleaded not guilty .,1,0
fit,This piece wo n't fit into the puzzle,4,0
consolidate,consolidate one 's gains,0,0
report,I reported her to the supervisor,1,0
treat,Grandmother always treated us to the circus,2,0
ping,ping your machine in the office,0,0
engrave,The event engraved itself into her memory,2,1
please,he could do many things if he pleased,7,0
heap,He heaped him with work,1,1
explode,The boss exploded when he heard of the resignation of the secretary,2,1
repair,One can never fully repair the suffering and losses of the Jews in the Third Reich,4,0
load,load the bags onto the trucks,0,0
clog,The market is being clogged by these operations,4,1
swell,The bellies of the starving children are swelling,7,0
brush,Johnson brushed the hairs from his jacket,1,0
credit,She was not properly credited in the program,4,0
express,She expressed the letter to Florida .,1,0
retain,The landlord retained the security deposit,2,0
perturb,She was rather perturbed by the news that her father was seriously ill,3,0
pledge,I pledged $ 10 a month to my favorite radio station,1,0
wharf,the big ship wharfed in the evening,3,0
age,The death of his child aged him tremendously,5,0
rubricate,the manuscript is not rubricated,4,0
sound,This record sounds scratchy,2,0
push,The liberal party pushed for reforms,3,1
precede,Most English adjectives precede the noun they modify,3,0
drink,The patient must drink several liters each day,3,0
fear,I fear she might get aggressive,1,0
continue,The demonstration continued after a break for lunch,2,0
continue,We continued to work into the night,1,0
leak,The news were leaked to the paper,3,1
synchronize,synchronize this film,0,0
count,each answer counts as three points,2,0
brush,brush the bread with melted butter,0,0
march,They marched the mules into the desert,1,0
circulate,Blood circulates in my veins .,1,0
melt,her resistance melted under his charm,2,1
socialize,The children must be properly socialized,5,0
rail,rail off the crowds from the Presidential palace,0,0
dismiss,This case is dismissed !,3,0
amount,""" The bills amounted to $ 2,000 """,3,0
tack,He tacked together some verses,1,1
lock,He locked his hands around her neck .,1,1
score,She scored high on the SAT .,1,0
hunt,The oscillator hunts about the correct frequency,2,1
volley,The attackers volleyed gunshots at the civilians .,2,1
smother,smother the meat in gravy,0,0
sustain,We sustained ourselves on bread and water,1,0
smash,The police smashed the drug ring after they were tipped off,2,1
age,The death of his wife caused him to age fast,8,0
communicate,He communicated his anxieties to the psychiatrist,1,0
count,The academy counts several Nobel Prize winners among its members,2,0
incline,He inclined his ear to the wise old man,1,0
emerge,Some nice results emerged from the study,3,1
refine,many valuable nutrients are refined out of the foods in our modern diet,4,0
erupt,A rash erupted on her arms after she had touched the exotic plant,2,1
drift,The stock market drifted upward,3,1
transfer,transfer the patient to another hospital,0,0
translate,Braque translated collage into oil,1,1
finish,The carpenter finished the table beautifully,2,0
explode,The champagne bottle exploded,3,0
aim,She wanted to aim a pun,3,1
drink,The husband drinks and beats his wife,2,0
sign,He signed to play the casino on December 18 .,1,0
crush,She was crushed by his refusal of her invitation,2,1
visit,The principal visited his rage on the students .,2,1
expect,We were expecting a visit from our relatives,2,0
loop,The bicycle looped around the tree .,2,1
glow,The coals were glowing in the dark,3,0
relate,She relates well to her peers,1,0
glow,The fireflies were glowing and flying about in the garden,3,0
register,I 'd like to register this letter,4,0
bother,Do n't bother the professor while she is grading term papers,2,0
air,She aired her opinions on welfare,1,1
reflect,This action reflects his true beliefs,2,1
